,comment,Upgrade Policy,Upgrade Policy_explanation,Upgrade Policy_sentiment,Freq Flyer Program Value,Freq Flyer Program Value_explanation,Freq Flyer Program Value_sentiment,Extra Charges/Hidden Fees,Extra Charges/Hidden Fees_explanation,Extra Charges/Hidden Fees_sentiment
45,"✅ Trip Verified |  After our flight was delayed 2x in Cabo San Lucas on our way home to Milwaukee which resulted in my husband & I missing our connecting flight in Chicago we were advised by a United Airlines Agent that there were no more flights out that evening to Milwaukee and they could put us up in a hotel, give us food vouchers, and get us on a flight in the morning, or to catch the Coach Bus in which they would reimburse us for. We opted to catch the Coach Bus which actually worked out really nice getting us home only an hour & a half later that the regular schedule. I went on line and applied for the $31/per person bus credit and this was the response from United: Hello Linda, I'm sorry that your trip didn't go as planned and regret your flight was delayed due to Air Traffic Control delays. Your time is valuable, and we always work to make sure your trip goes smoothly. I regret that the weather caused us to fall short in this instance. We understand the added travel time and expenses and regret any inconvenience it may create for our passengers. Our airport co-workers are expected to do all possible to minimize the inconvenience. We do not cover added expenses in situations that are beyond our control. As this flight interruption was due to Air Traffic Control, we are unable to cover your added expenses. Your understanding is appreciated. If you purchased Trip Insurance, please let me know and I can provide you with a Flight Verification Letter to provide them. My Response back: I was told by a United Airlines Agent that there were no more flights out that evening to Milwaukee and that we'd have to wait until the next morning. Our options were to get a hotel room and food vouchers competed by United and catch a flight the next day or take a bus competed by United. So what part of this am I not understanding? I would have to guess that a $31 per person to catch a bus back to Milwaukee would be cheaper then competing us a hotel room, shuttle, food vouchers and another flight back to Milwaukee. The airlines should be responsible for air traffic control / bad weather conditions resulting in their customers missing their next flight due to their original flight being delayed not once, but twice. Take responsibility already United .. geez! Again please credit me the full amount of the 1-way bus ticket for 2 people from Chicago to Milwaukee. My next step will be to contact a supervisor/manager at United. This is ridiculous. United Response Back to Me: I thoroughly understand your point of view and again wish to express our true regret. I can appreciate your request to escalate your concern and I understand that you did not consider United's first response satisfactory. I am afraid we can only reiterate and convey our policies which we will continue to support. While this is not the answer you were hoping for, your understanding is appreciated. They lie to mislead the customers. Everyone you talk to has something different to tell you & you spend hours on the phone trying to talk with something. Neverwill I fly United again. Shame - Shame on them! I'd give them a Zero at Customer Service if I could.",True,"Review discusses a delayed flight and subsequent compensation process with United Airlines, mentioning dissatisfaction with the response received.",Negative,True,"United Airlines did not provide $31/per person bus credit as promised, citing Air Traffic Control delays beyond their control.",Negative,True,"United Airlines reimbursed for coach bus tickets due to missed connecting flight and delayed flights, but denied $31/per person bus credit claim citing air traffic control delays beyond their control.",Negative (dissatisfaction with United Airlines' response to claim)
46,"Not Verified |  I was in Mississippi for a couple of weeks to visit my Dad who's on Hospice, for the last time. I was supposed to catch my flight back home out of MEI on May 4, 2022. We boarded the flight, the door closed and the right engine wouldn't start. We all had to get off the plane. Mechanic came to look at the engine and found out a valve had to be replaced. That valve had to come from Nashville and the part had to be driven to Meridian, the Regional Airport we were at. It would take 9/10 hours before the part would reach us. They told us the flight was rescheduled for midnight, so they rebooked us all. 15 minutes after everyone was rebooked, the flight was scheduled for 7am, the following day. Even though there was a lot of chaos going on for 8+ hours, no one lost their cool because we understood things like this happened. We were all just thankful that the engine failed before we took off. The United Staff were very caring, making us coffee, even ordering all the passengers pizza for dinner. They made all the passengers reservations to stay at the Holiday Inn. We all met up at the Airport again the morning of May 5th. The plane wasn't fixed yet, but they sent another plane in that night so we could all be sent in our way. I just wanted to say thank you to the United Staff at the Meridian Regional Airport for taking such great care of all of their passengers. Thank you!",False,"""""","Positive (despite the initial issue, the reviewer speaks positively about the United staff's care and problem-solving)",False,"""""","Positive (despite the initial issue with the engine, the review focuses on the positive experience with United staff and their care for the passengers)",False,"""""",Positive (due to the United staff's caring and proactive approach)
47,"✅ Trip Verified |  London to Washington. United's Polaris Business Class service on this flight was efficient and friendly. The 787's business class arrangement is a bit better than that of the 777, but still lags behind the comfort of some of its competitors. Still, the food has been upgraded somewhat, but gone are some of the original Polaris amenities - ie., the second pillow, the bloody mary carts, etc. Slippers must be asked for. Overall it was comfortable with generally good service. Entertainment choices are immense. My main course, ravioli, was a bit too undercooked for my taste. I did not take the second meal, but it looked quite tasty. My only real complaint here would be the state of the toilet which was a mess within a couple hours of takeoff. Obviously no crew member ever looked. But it would be nice if United had someone straighten up the toilet at least once during the flight.",False,"Review focuses on Polaris Business Class service, amenities, food, and cleanliness, not the upgrade policy.",Neutral,False,"""""",Neutral,False,"""""",Neutral
48,"Not Verified |  Los Angeles to Denver with United Airlines. Families Beware! They over sold our flight, gave away our reserved seats, split up our family, then gave us nothing but empty excuses. We were eventually told just to 'go on the website, and lodge a complaint'. We saw three other families on our flight that they had done the exact same thing too, splitting them up.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
49,"✅ Trip Verified |  Los Angeles to Honolulu. I had the most stressful time trying to rebook a flight I wasn’t going to make. I talked to three agents and my phone dropped the call twice. Finally I was given a phone number to call and the person that answered was amazing, he helped me out in finding a new flight for the best price, even though it wasn’t with United, and refunding me for the flight I had missed. After a stressful morning it was so nice having his help and it makes me want to fly with United more!",False,"""""",Positive,False,"""""",Positive,False,"""""",Positive
50,"✅ Verified Review |  Liberia to Portland via Houston. I've flown with United Airlines many times, and this one was the last straw. They are typically unresponsive, slow, and rude. This time was no exception and it resulted in a delay.that delay turned into a longer delay due to weather which wasn't their fault, so I was understanding about that. However, after an hour and a half, the crew didn't want to wait any more and went home. At that point, my 9:17pm flight got bumped to 8:30 am. United offered no compensation with the exception of a 40% off coupon for some hotel I didnt want. They don't care about their customers. That's all there is to say. I'm never flying with them again.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative (regarding overall experience with United Airlines)
51,"My husband injured his back the night before our United Airlines trip from Boston to Maui. We arrived at the airport with him in a wheelchair. We were ushered to the gate by an airport representative - all was well. We had forgotten we booked exit row seats and the gate agents didn't realize the issue until we were boarding. We were in row 7, and I completely understand that, with my husband's injury, we could not remain in the exit row. What I am taking issue with is the manner in which the agents handled moving us. They made an announcement over the PA and offered our seats to the entire plane. All they asked was that 2 people sitting together exchange seats with us. We paid over $100 each to be in those seats and, at most, the seats should have been offered to other passengers in EconomyPlus seating. Instead, the PA announcement caused mayhem at the gate with many people rushing the counter. Our seats were exchanged for two seats in row 27. So, my husband was rolled to the plane in a wheelchair and then had to almost crawl to row 27. They could have offered the seats to passengers in row 8, for example - at least for starters. Seems as though this would make the ADA shiver. Once the agents realized we had to be moved out of the exit row, we became an annoyance to them. This is a huge fail on the part of United. To add insult to injury, once everyone was onboard, an announcement about the availability of economy seats was made! So, I hit the flight attendant call button, explained what happened and was told we could not move - that there really weren't any seats.",False,"""""","""""",False,"""""",Negative (although the sentiment is not about the Freq Flyer Program specifically),False,"""""",Negative (regarding United's treatment of the passenger with a disabled husband)
52,"Not Verified |  If I ever have another choice, I will choose a different airline. For this particular trip, our flights were booked through Swiss Air, but our first flight of the day was operated by United. United does not have Curbside Check-in, and we are moving to another country for 2 years, so we have the maximum allowed baggage (2 carry on and 2 checked under 32 kg -- based on Swiss Air's rules). The guy at the counter told us we had to have a negative test result before we could get a boarding pass but the location of the Xprescheck (where we scheduled to get our tests) is in the terminal, so you have to have a boarding pass to enter. He finally decided it was okay to use our vaccination cards. Our bag was two pounds over. He said it would be $400 per bag that was over.  We repacked to make sure each bag was under weight.  Your flight was delayed twice, so you're going to miss your connection in Chicago, even though you had a three hour layover. We'll rebook your flights for you.  The only flight he could find was the next day with 2 of us in Business Class and three of us in Economy for the first leg of the flight (basically any portion operated by United). But they don't offer to refund the difference between the price we paid for everyone to have Business Class nor do they offer any kind of assistance (like a hotel stay since it was their fault or even a free meal service)? Nothing. It's just our bad luck that we flew with United.  Went back to a hotel to wait for tomorrow's flight. Took a one hour COVID test at a new location so we could check in online, but we still can't because even with the negative results uploaded in their system, they won't let us check in without looking at our passports. So I have three little kids that I can't check seats to make sure they are sitting somewhere near me and I can't check in online to let them know how much baggage we have. I took the exact same trip through Delta a month ago and it was entirely smooth sailing. If they have to reschedule your flight, they take the time to pick seats out with you immediately to make sure you are sitting near your children. But with United, we rely on the kindness of other passengers to trade seats with us so that we can sit with our kids. If you want a trouble free flight domestically or internationally, with service personnel who go the extra mile to help you out when they have failed in any part of their performance, you don't want UNITED.",True,"Poor service, baggage issues, and rebooking problems with United flight",Negative,True,"Poor service, baggage issues, and rebooking problems with United flight",Negative,True,"Poor service, baggage issues, and rebooking problems with United flight",Negative
53,✅ Trip Verified |  Los Angeles to Newark. I was traveling today with my son (who was sleeping on the stroller) and husband. Before we enter immigration at the entrance we met these two ground officers(women) who are checking bording passes. The one who took our bording passes looked at asked us to tell our names by showing each bording pass. We did as she said. But she asked us to repeat it. But we don't know why. My husband repeat it again also said we have to catch the flight at 10.45pm So let us go. (It was almost 10.30) she looked at me and said step back and take off my tiny purse which was hanging my neck and shoulder. So i had to step back and take off my backpack my jackets to take my purse and put it inside. I was just couple steps away from immigration. I know she wanted to make us uncomfortable in front of everyone.  We felt so helpless specialy when we had a sleeping baby with us. This made me so upset during whole flight. This is the first bad experience i ever had.,False,"Review is about an unpleasant encounter with ground officers, not about upgrade policy",Negative,False,"Review is about an interaction with ground officers, not about the Frequent Flyer Program value.",Negative,False,"Review is about uncomfortable experience with ground officers, not about extra charges or hidden fees",Negative
54,✅ Trip Verified |  I was ticketed to fly to India by Lufthansa with 2 Pieces of baggage as check-in. The first leg was from Los Angeles to Washington and United refused to allow me to check in two baggage unless I pay $100 for each baggage. After showing the ticket and the routing which clearly shows that I am allowed 2 Piece of luggage the supervisor at LAX threatened me with not allowing me to board unless I pay the extra money for the second luggage. The customer service in United Airlines is even worst and refused my refund even after providing the ticket evidence.,False,"""""",Negative (regarding United Airlines' customer service),False,"""""",Negative (regarding United Airlines' customer service and baggage policy),True,United Airlines charged for a second piece of luggage despite the passenger's ticket allowing two pieces.,Negative
55,"✅ Trip Verified | We flew United UA1872 from Chicago O'Hare (ORD) to Houston (IAH) on January 13th 2021, the last leg of trip back home to Houston from a Family trip to SE Asia. We spent time at O'Hare's United Club in Terminal 1 after transferring from Terminal 5 International arrival and stayed there for a couple hours waiting for our flight. The gate to our flight is just a few doors down from the lounge so we waited until boarding time before we leave the lounge. Boarding was done very orderly, First Class were called first then Economy were called by rows from back to front. Interesting concept of preventing Covid-19 transmission in this single aisle plane, letting First Class passengers get exposed to all Economy passengers passing them on their way to the back of the plane. Had this been a widebody this concept might work if Economy passengers entering from the second door, bypassing the First/Business Class passengers up front. It's obvious we are on an American carrier from the very tight pitch of seats, very different from Asian carriers we used in the past few weeks. The plane was clean even though it is kind of old (19 years - registration N37267). We used Clorox wipes to sanitize the tray table, armrest, seatbelts and screen when we got to our seat. We're back in the US so this is very important and it is something we have to do to keep ourselves safe! Movies and TV series from United's inflight entertainment program is enough for this short (2 hours) flight. I lost my wireless transmitter while transferring in Chicago O'Hare so I have to use one of the free headphones given by the FAs. The FAs on this plane are two older gentlemen and two older ladies. They were all very lovely, very laid back, helpful and cheerful. From how they help and interact with their passengers you can tell that they like their job. One of the FAs was even cracking jokes when she was making pre-departure announcement. I'd take them in a heartbeat over 95% of all other UA FA's that I have met in the past! The FAs were also very nice and approachable. They were open to chit chat when I was standing in the back galley stretching while waiting for a restroom. We were given sanitizing wipes when we were boarding, and a goodie bag with pretzels, stroopwafel and a small water bottle after take off. Then the FAs making rounds with the drink cart midway through the flight. We left 10 minutes behind schedule but arrived at 8.25 pm, around 34 minutes earlier than scheduled. Deplaning was done quick and very orderly, the FAs calling the rows to stand up to pick up our carry on and deplane while others behind were asked to stay seated, so there was no rushing or a line to deplane. It was an uneventful flight but the FA's cheerful and helpful disposition gives a good impression about United that they are improving their service. Hope we can have more of the FAs like the ones on this flight to change the general perception about United's Flight Attendants, especially the more senior ones!",True,"Mention of a United flight from ORD to IAH, discussing boarding process, cleanliness, IFE, and crew",Neutral,True,"Mention of a United flight from ORD to IAH, discussing boarding process, cleanliness, IFE, and crew",Neutral,True,"Mention of a United flight from ORD to IAH, discussing boarding process, cleanliness, IFE, and flight attendants.",Neutral
56,✅ Trip Verified | I recently found that I had 2 United lounge passes that were about to expire. I asked United if they could be extended and they said unfortunately not but gave me two more passes. I’m traveling today by American Airlines first class international. I went to the AA lounge for breakfast and was told that my flight was excluded and I could buy a pass but for all of the money that I had paid for my ticket and my husband‘s ticket I would not be able to use the AA lounge. I went over to the United lounge and explained to them that I was flying American but would like to use my passes that were about to expire and they said no problem. I’m currently sitting here having a wonderful breakfast and a latte. Why I love United over AA.,False,Review discusses using lounge passes from United for breakfast at a United lounge while flying with American Airlines.,Neutral,True,United extended lounge passes and allowed use despite flying with American Airlines,"Negative for American Airlines, Positive for United's Frequent Flyer Program",False,"""""","Positive (towards United, neutral towards American Airlines)"
57,"✅ Verified Review |  I have flown United Airlines several times, and they have shown incredible consistency in being the absolutely worst airline. My negative experiences with the airline date back to 2007. As for the present trip under review from New York LaGuardia to Chicago, here are the most relevant issues. First, the flight was delayed leaving the airport by over two hours. There was no explanation given for what led to the delay while we waited at the gate. Second, the space between seats is simply unfairly small. I am a 5' 10"" man who is not at all overweight. And yet, my knees were pressed firmly against the seat in front of me, and the space was so small that I could not open my laptop computer to do work on the flight (my laptop is a MacBook Air, the thinnest model). Third, once in Chicago airspace we were told we could not land and circled the airport for close to an hour. When it finally appeared that we were going to land, the landing was aborted at the very last moment and were re-routed to Detroit. The problem: no information was given that we were heading there, just a little surprise when we arrived at a different airport. Upon exiting the plane, there were no gate agents there to help with booking connecting flights, only the personnel who dealt with lost luggage. I could actually say more negative things about this flight but am limited by space. Suffice it to say that I will absolutely never fly United again unless they are literally the only option in getting to my destination city. I would happily pay double to avoid getting on a United flight.",False,"""""",Negative,False,"Review focuses on flight delay, seating discomfort, and routing issues, not the value of the frequent flyer program.",Negative,False,"""""",Negative
58,✅ Trip Verified | I have a broken foot and using crutches. I did not reserve a wheelchair but when i arrived in Newark and saw 5+ wheelchairs unused by the gate I asked if I could use one. The United people declined my request. Then when I asked a United person wheeling an empty chair she also declined. For this I think United lacks kindness for handicap people.,False,"""""",Negative (regarding United's treatment of handicap people),False,"""""",Negative (regarding United's kindness towards handicapped individuals),False,"""""",Negative (regarding United's kindness towards handicapped individuals)
59,"Not Verified |  On a 777-200 they should provide you with TVs and there were no TVs, except for those who flew in first class or business class had a whole bunch of TV shows to watch and they got WIFI for free. But sitting in the back of the plane had nothing to watch. They also, said my dad did not pre order food for us, so we had to wait 3 hours before we got any sort of water or food, this is rude because people in economy class have to wait forever. This is rude and not ok for a major airline to do this on a 5 hour flight. It was nice having 1 person who cared for our whole family and I am thankful for this.",False,"""""",Negative (regarding in-flight experience and service),False,"""""",Negative (regarding service and food wait times during the flight),False,"""""",Negative (regarding service and food wait but not about extra charges or hidden fees)
60,"✅ Trip Verified |  Do not ever fly this corrupt airline! Me and my husband recently flew with them and due to delays, nothing which was our faults, we missed our connecting flight. They told us they could not get us on another flight so we were told to rent a car and they would reimburse us. We tripled checked with their customer service as we do not have the extra money for that. Well guess what they told us too bad, not their policy and they will not reimburse us so we are out over $200.  Worst customer service and airline I have ever dealt with! They should be ashamed",False,"""""",Negative,False,"""""",Negative,True,"Airline charged for connecting flight missed due to delay, did not reimburse for car rental",Negative
61,"Not Verified |  The worst experience of my life. The staff are tremendously helpful, however after canceling my flight I've been trying to reach out to customer service with no luck. The phone call is currently at 35:02. It is funny after trying not to use United, they were forced upon me because of technical issues with Air Canada. This has been the worst experience of my life I'm stuck in New Jersey and cannot get any assistance.  But the staff in the airport do a great job this is clearly management issue and most likely just a greedy company that doesn't care about it consumers.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
62,Not Verified |  I am a little late in completing this review - I flew from Dallas/Ft. Worth to San Francisco on 10/5 Flight #UA324 - United Airlines. The stewardesses were the most fun group. I feel like I had met best friends with them! They kept the flight enjoyable - had everyone laughing! A lot of people are nervous when flying but they put everyone at ease. I am not nervous to fly but it was truly refreshing to have such friendly stewardesses. I truly hope in my future travels that I am lucky enough to be on a flight with the.,False,"Review is about friendly flight attendants, not the upgrade policy",Positive,False,"""""","Positive (commenting on the friendliness of the staff, not the value of the frequent flyer program)",False,"""""",Positive
63,"A surprisingly pleasant trip. Cabin service was very good and food was good as well. Seats were very comfortable with a nice selection movies available. The internet worked well, reasonably fast and did not lose signal the entire trip. We had seats 16J/K on the upper deck and it was very private and quiet up there.",False,"""""","Positive (general sentiment about the trip, not specifically about the upgrade policy)",False,"""""",Positive (the review is expressing satisfaction with various aspects of the flight experience),False,"""""",Positive (The review is expressing satisfaction with the flight experience)
64,San Francisco to London with United Airlines. When I checked in on-line the flight appeared to be only half full in BusinessFirst. Once at the gate I saw that all 14 of the upgrade requests had been accepted. The cabin was now completely full with a resulting slowness in the service and delay in lights out for sleeping. The seat itself coverts into lie flat but does not seem to be much wider than the economy class seat as they are arranged 8 abreast. Feet have to be put into quite a narrow slot that makes it difficult to turn over. A lot of the flight entertainment movies were old James Bond titles. The evening meal was OK but nothing more than that. I am not sure why they feel offering ice cream for dessert is something special. Unlike some airlines there was a full hot breakfast. Arrived a few minutes early but then had a very long walk to immigration.,True,"Despite upgrading to BusinessFirst, the cabin was fully booked leading to slow service and narrow foot space.",Negative,False,"""""",Neutral,False,"""""",Neutral
65,"Not Verified |  This is not about the flight, this is about the Customer Service. I booked a flight one month ago on United to Sydney. When I went in to make a matching reservation the site stated a change had been made to my itinerary and to give them a call. When I gave them a call they said I had to pay $300 more for my ticket, they also wanted me to pay a change fee. This is not right, I did not cancel my ticket, they cancelled my ticket and I should not have to pay more when they changed my ticket and I had no say at all. I switched from Southwest to United about two years ago because I thought I got better Customer Service and flights, I was wrong, United has continually gone downhill in the last two years and I will be switching back to Southwest and any over seas travel will not be on United. They are dishonest and to not care about the customers at all. If I hadn't checked the ticket who knows how much extra they would have charged me on the day of the flight.",False,"The review is about customer service and alleged unexpected charges, not about the upgrade policy.",Negative,False,"The review is about customer service and fee charges, not about the value of the frequent flyer program.",Negative,True,Customer was charged $300 more and a change fee without their consent.,Negative
66,"✅ Verified Review |  Los Angeles to Honolulu. Very good flight experience thanks to very good and experienced crew. As usually on the route from California to Honolulu the aircraft was not the newest and the seats were not the latest either. And as usual the staff is rather older and more experienced (seniority principle on this routing) then on any other route on the planet. But the always friendy, smiling and efficient crew did more then compensate for old seats or plane. One staff did the cooking and the other one did the service. All in a very personal and efficient way, one felt like being already in Honolulu. The food and the drinks on offer were good and well sized. The entertainment system is rather limited and on a small tablet screen. The crew was one of the best ever on a plane, and it was most enjoyable to watch them serving with joy and fun.",False,"""""","Positive (the review expresses satisfaction with the flight experience, crew, food, and drinks)",False,"""""","Positive (despite not being relevant to the category, the review expresses a positive sentiment towards the flight experience)",False,"""""",Positive (the review is expressing satisfaction with the flight experience)
67,"✅ Trip Verified | I'm a frequent business and pleasure flyer and flying United was the worst air travel experience I ever had. I bought a business-class flat bed ticket on United 363 from Newark to Honolulu leaving on 12/17/2020 at 9:50am. I required a business class level of service due to my injured spine with multiple herniated discs. Due to the snowstorm on the night of 12/16-12/17, I had difficulty finding a taxi and getting to the airport, and I arrived at the airport 50 minutes prior to my 9:40am departure. I had already checked in to my flight online and just needed to drop off 1 bag, which is technically still within United's 45-minute window submitting luggage for domestic flights. However, when I inquired about business class service, United personnel had no idea where to direct me. At first they sent me from the 2nd to the 3rd level of Newark Terminal C, however the United personnel there claimed they don't service Hawaii and sent me back down to Level 2, which was all Economy and big lines. I tried approaching multiple United personnel and all of them refused to help me and directed me towards Economy lines. Soon, they claimed I was too late for my flight - but I wouldn't be late if they did their job from the beginning and assisted me with priority service! At this point I was sent to wait in a massive line for customer assistance (again, no business class service to be found). I would have missed every other UA flight waiting in that line, but I also called United customer service by phone, where United phone agent (the only helpful agent in this entire experience) helped me rebook for a flight that departed one hour later, at 10:50am with a connection in SFO. However, I was made to pay a $539 flight upgrade fee that was sold to me as an ""upgrade"" from business to 1st class, which in reality turned out to be exactly the opposite, a downgrade: an old upright seat with minimal recline that is vastly inferior to my previously booked flat bed business seat, and much worse for my back. I found this deeply unfair. Even after rebooking, checking in to my new First Class flight was again a nightmare and I almost missed it, too, with no one willing to assist me even as I followed the phone agent's advice and told United personnel that I was flying 1st class. Probably 5 or 6 employees shooed me away and told me to get into a line for Economy electronic kiosks (half of which weren't working) and a long Economy passenger line for bag drop-off. The computer kiosk (when I finally got to it) again claimed I was too late to register baggage for my newly re-booked flight, but I miraculously found one competent UA agent who helped me overcome this. All in all, I had an absolute worst nightmare flying experience of my life. The physical pain in my back flared up from all of the dashing between floors, kiosks, and lines that I was made to endure with no one able or willing to help me. The service I received from United was absolutely abominable and especially so for business/1st class, and frankly it was horrible for any human being in any class to be subjected to such humiliation, physical pain, and monetary deprivation (which was unreasonable because I was actually downgraded, not upgraded). Online complaint with UA resulted in a generic ""you were late and we won't do anything"" answer (arriving 50 minutes should have absolutely been accommodated for a business class traveler who already checked in). I will never fly United again.",True,United personnel failed to provide business class service and upgraded to an inferior 1st class seat for a fee,Negative,True,United personnel failed to provide business class service and upgraded to inferior 1st class seat for a fee,Negative,True,United personnel failed to provide business class service and upgraded to an inferior 1st class seat for a fee,Negative
68,"✅ Trip Verified | Pittsburgh to Myrtle Beach. We had a terrible experience with United and their customer service. Our flight was delayed for over 24 hours. We got on and off two broken planes, I twisted my ankle climbing up the many ramps. We didn’t eat, didn’t sleep, lost out upgraded seats we paid for, out hotel costs tripled because of having to change days and our vacation destroyed. I was assured customer care would help us kindly, yet I received a very unacceptable and unfair response from the representative, after I was assured at the airport and over the phone that we would be helped. I’m not a complainer but this was truly very discouraging and we felt like we were not valuable customers. My boyfriend will probably never fly again and I will ensure my company friends and family steer clear of this airline. I've never had such a terrible experience and I fly often. All of the people on one of the flight received the same compensation which was appreciated, but we also faced a previous 4 hour delay and then had to cancel another flight due to a recommendation due to weather and were not offered anything to make up for all of the stress, lack of sleep and food and loss of time and money on our short trip. I honestly expected more from United and I’m very upset by the response and coldness/lack of understanding from customer care. I truly expected better. They gave me a 2500 mile credit worth less than $25 and insisted I be grateful for that. Just terrible and utterly disappointed.",False,"""""","Negative - the review expresses dissatisfaction with customer service, compensation, and overall experience, but it does not pertain to the upgrade policy.",True,"Poor customer service experience, delayed flight, lost upgraded seats, increased hotel costs, and inadequate compensation from United's frequent flyer program",Negative,False,"""""","Negative (regarding overall experience with United, not specifically about extra charges or hidden fees)"
69,Not Verified |  San Diego to Aspen. Customer service is overseas they are very misleading they do not have the correct information. I called up to ask them prior to purchasing my ticket the difference between a basic ticket and an economy ticket I was told if I pay the difference for the economy ticket that includes one carry-on and one checked in luggage they checked in luggage they tell me for the basic would be $60 round-trip so instead I bought a more expensive ticket for the economy. When I went to check in I found out I didn’t pay for my luggage it was an additional $60. So I should have bought the basic ticket which in the long run would’ve save me quite a bit of money. On Southwest you get a free check in luggage and you don’t have to deal with any of this bait and switch situation. I’m very unhappy.,True,"Incorrect information provided about luggage fees for basic and economy tickets, resulting in paying more",Negative,False,"""""",Negative,True,"Misled about luggage fees, paid more for economy ticket but still had to pay for luggage",Negative
70,"✅ Verified Review |  Charleston to Hancock via Chicago. United assumed operations to my hometown from Delta a few years ago and the service has become garbage. Almost every flight I've been on has been delayed or canceled. Every time I fly there it's a toss up whether or not I make it and chances are good I won't make it back to work on time. If given the option, take a different airline. In addition to their inability to manage the flight leg, their planes have uncomfortable seats and are usually too hot. If anybody from United reads this, you should go talk with a Delta rep and learn from them. Service wasn't this terrible when they managed the flight.",False,"""""","Negative (for overall experience with United, not specifically about upgrade policy)",False,"""""","Negative (for the category of ""Airline Service Quality"")",False,"""""","Negative (regarding United's service, not extra charges/hidden fees)"
71,"Horrible customer service. Our inbound flight arrived on time in Dulles and we made it to the gate with little time to spare. After 20 minutes we had a flight delay of 2 hours. While waiting in the customer service line for quite some time the flight changed again and again and yet again. Apparently the plane had already been sitting for 3 hours with mechanical issues. The flight was ovebooked by 5 seats. One by one all of the PA flights were getting delayed. We just wanted to obtain our luggage, get a rental car and go home. The very rude customer rep basically told us we were crazy saying it was overbooked and it was impossible to get our luggage. Finally our flight was canceled. We were offered a bus service. All we had to do was go here, then there, then here and then there again. United had very little contact with the shuttle service people and did not want to deal with us any longer. After a total wait of 4 hours getting the run around and lied to and treated like this was our fault we were finally on the road back to PA. While we should all be tuckedd away at home at the early hour of 1 am we will be lucky to make it to HIA and then get home before the sun rises. Any travelers looking to utilize United, do yourself a favor and choose a better company.",False,"""""","Negative, this review is about poor customer service and flight delays, not the upgrade policy.",False,"""""",Negative,False,"""""",Negative
72,✅ Trip Verified | Houston to Seattle. I paid for First Class and was disappointed in the mediocre food quality and limited selection of beverages. The only red wine available was mediocre-to-bad and came ice cold in a glass; no way of knowing what was being poured. The FA simply said that there was a red and a white. I don't eat meat and the only two meal options were meat so I ended up eating rice. I would have picked the chicken out of the Cobb Salad but they had run out of that by the time they got to me in row 3 (of 6 rows). The small piece of cheesecake was convenience-store quality. I wondered if United had chosen to skimp on food quality and quantity as a cost cutting measure. I honestly thought that paying for a First Class seat would bring great service and relieve me from the unpleasant economy situation of United. It real only brought me up to what a normal economy experience might be.,True,Poor food quality and limited selection in first class,Negative,False,"""""",Negative (regarding food quality and selection in First Class),False,"""""",Negative (regarding food quality and selection in First Class)
73,✅ Trip Verified |  Houston to Ft Lauderdale. I booked a flight for myself and my wife 3 months out. I Upgraded to first class for an additional 400 dollars each ticket. I called back a week later to change my flight because our accommodations cancelled. They claimed that prices had changed and wanted to refund me $128.00 per ticket to go back to economy class instead of crediting me the S400 I paid per ticket. They also said that if i wanted to change the dates there would be a $200 dollar per ticket change fee plus an additional $200 dollars per ticket to get the same first class tickets one week later. This airline should be investigated for the outrageous practices they employ!,True,Airline wanted to refund $128 per ticket instead of crediting $400 for upgrade when changing flight,Negative,False,"""""","Negative (regarding overall experience with airline, not specific to Frequent Flyer Program Value)",True,Airline charged $128 to downgrade from first class and imposed a $200 change fee plus additional $200 for first class tickets one week later,Negative
74,"Not Verified |  Norfolk to San Diego. Worst experience I've ever had flying. Every gate they told me to go to was wrong. I had no forewarning over the PA or on the website, flight gets delayed. These people have no care for your time and provide no real service or anything they just want your money. I'm never flying with United again. I've never had an experience this displeasing flying across the country.",False,"""""",Negative,False,"""""",Negative,False,"""""",Negative
75,✅ Trip Verified |  It was awful. We had a connecting flight and only asked for information to make a decision. The attendant wouldn't help at all. Asked for a manager who never came. Ended up missing the connecting flight having to reschedule on another airline and paying extra. Silver took no responsibility. Tried calling. No response or a callback after waiting for 30 minutes.,True,"Attendant refused to help with connection information, leading to missed connection and extra costs.",Negative,True,"Airline's poor assistance led to missing a connecting flight, requiring additional expenses on a different airline; no manager assistance or callback from the frequent flyer program.",Negative,False,"""""",Negative (regarding service quality and customer support)
76,"United is a waste of time and money, at this point. My first flight was from Toronto at 6:00am to connect with my next flight to Chicago to finally take my last flight to Puerto Rico at 7:30am. Something came up with the airplane and I lost my flight among other people. Not only that but they also gave me new flights and three 10$ ""Vouchers"" at Chicago waited a few hours to head to Miami. I got not long ago to Miami and finally head back to PR. Lovely thing they are. They sent me to the wrong terminal D3 that heads to London, not PR! My terminal was really at D40 and when I tried to use the vouchers to finally eat something since I have been flying since 6:00am till now 8:05pm the three vouchers where expired. Since the 20th, today is the 22nd. Thank you , United. I refuse to waste money on this airline in the future.",False,"""""","Negative (regarding overall experience with United, not specifically about Upgrade Policy)",False,"""""","Negative (regarding overall experience with United, not specifically about the Freq Flyer Program)",False,"""""",Negative
